Nome,Nascimento,CPF,Email,Servidor,Setor,Salário,Filial,,Nome,João Martins
Mariana Barbosa,2/2/1991,241.489.624-35,marianabarbosa@globo.com,globo,Marketing,R$ 9.500,Bahia,,,
Marinalva Faria,7/1/1960,386.401.664-68,marinalvafaria@gmail.com,gmail,Financeiro,R$ 5.750,Paraná,,,
Jordan Mota,2/8/1988,968.122.342-55,jordanmota@outlook.com,outlook,Administrativo,R$ 5.000,Paraíba,,,
Ana Silva,2/18/1987,325.026.440-00,anasilva@live.com,live,Comercial,R$ 6.250,Bahia,,,
Rafael Paladini,8/24/1989,364.235.470-41,rafaelpaladini@gmail.com,gmail,Administrativo,R$ 8.250,Mato Grosso,,,
Andrey Amaro,11/26/1981,153.057.584-49,andreyamaro@globo.com,globo,Marketing,R$ 3.250,Rio Grande Do Sul,,,
Carlos Maciel,4/17/1986,768.748.901-07,carlosmaciel@globo.com,globo,Marketing,R$ 18.500,Amazonas,,,
Samuel Xavier,11/18/1959,353.024.931-47,samuelxavier@outlook.com,outlook,Financeiro,R$ 5.250,Minas Gerais,,,
Adriano Ferreira,1/8/1993,948.412.259-39,adrianoferreira@gmail.com,gmail,Produção,R$ 6.500,São Paulo,,,
Saulo Francotti,1/25/1988,429.218.109-35,saulofrancotti@hotmail.com,hotmail,Comercial,R$ 2.500,Mato Grosso,,,
Rafael David,6/7/2000,970.918.733-51,rafaeldavid@gmail.com,gmail,Comercial,R$ 26.250,Pará,,,
Gabriel Pinto,10/31/1986,707.704.082-72,gabrielpinto@gmail.com,gmail,Financeiro,R$ 19.000,Minas Gerais,,,
Arilson Alves,1/29/1963,312.828.826-75,arilsonalves@gmail.com,gmail,Comercial,R$ 3.750,Acre,,,
Elisandro Ribeiro,1/30/1951,109.715.612-42,elisandroribeiro@gmail.com,gmail,Gestão,R$ 2.750,Paraná,,,
Thiago Campos,10/16/1980,114.057.543-17,thiagocampos@globo.com,globo,Administrativo,R$ 3.250,Rio De Janeiro,,,
Geane Lima,5/29/1972,717.373.234-69,geanelima@terra.com,terra,Comercial,R$ 2.750,Amazonas,,,
Amanda Matos,1/24/2001,436.816.986-30,amandamatos@gmail.com,gmail,Marketing,R$ 8.500,São Paulo,,,
Renata Inacio,11/5/1964,128.386.029-38,renatainacio@gmail.com,gmail,Comercial,R$ 24.250,São Paulo,,,
William Pereira,12/21/2000,625.022.209-02,williampereira@uol.com,uol,Financeiro,R$ 8.250,Santa Catarina,,,
Jose Schlickmann,12/4/1992,712.933.009-98,joseschlickmann@outlook.com,outlook,Marketing,R$ 6.500,Ceará,,,
Vinicius Santana,11/18/1958,570.274.566-66,viniciussantana@uol.com,uol,Marketing,R$ 8.000,Rio De Janeiro,,,
Áurea Rocha,11/3/1965,386.426.253-09,áurearocha@gmail.com,gmail,Marketing,R$ 23.500,Ceará,,,
Leonardo Lopes,11/13/1990,844.984.293-25,leonardolopes@live.com,live,Comercial,R$ 4.500,Rondônia,,,
Virginia Marson,11/25/1984,671.544.387-27,virginiamarson@globo.com,globo,Produção,R$ 5.000,Bahia,,,
Henrique Moura,7/17/1959,637.425.418-50,henriquemoura@gmail.com,gmail,Administrativo,R$ 20.250,Distrito Federal,,,
Rafaella Brilhante,8/10/1995,624.492.057-84,rafaellabrilhante@globo.com,globo,Marketing,R$ 26.000,Paraná,,,
Angelica Calera,8/18/1953,629.865.957-55,angelicacalera@gmail.com,gmail,Comercial,R$ 4.750,Paraíba,,,
Carlos Santana,12/22/1971,759.015.107-94,carlossantana@hotmail.com,hotmail,Financeiro,R$ 8.250,Rio De Janeiro,,,
Letícia Nascimento,2/19/1973,316.534.820-35,letícianascimento@outlook.com,outlook,Financeiro,R$ 6.750,Rio De Janeiro,,,
Luiz Santos,11/23/1995,568.447.936-30,luizsantos@terra.com,terra,Administrativo,R$ 5.250,Tocantins,,,
Fernanda Sousa,5/1/1984,749.842.542-60,fernandasousa@gmail.com,gmail,Administrativo,R$ 3.750,Sergipe,,,
Jose Afonso,3/5/1976,475.896.456-75,joseafonso@gmail.com,gmail,Marketing,R$ 3.250,Espírito Santo,,,
Silvia Pereira,4/19/1960,176.285.053-75,silviapereira@live.com,live,Financeiro,R$ 17.500,Mato Grosso,,,
Moises Milani,7/9/1969,132.700.075-75,moisesmilani@outlook.com,outlook,Marketing,R$ 3.000,São Paulo,,,
Helio Moreira,1/3/1997,994.450.547-68,heliomoreira@gmail.com,gmail,Marketing,R$ 7.500,Rio Grande Do Sul,,,
Ricardo Júlio,8/7/1992,429.284.801-28,ricardojúlio@globo.com,globo,Marketing,R$ 7.000,Pernambuco,,,
Thiago Rodrigues,6/29/1979,437.933.143-25,thiagorodrigues@gmail.com,gmail,Comercial,R$ 7.750,São Paulo,,,
Leonardo Kozlinski,10/29/1991,537.467.381-54,leonardokozlinski@live.com,live,Compras,R$ 2.500,Distrito Federal,,,
Renata Figueira,2/4/1963,523.722.591-71,renatafigueira@globo.com,globo,Financeiro,R$ 5.000,Mato Grosso Do Sul,,,
Isabelly Ferreira,12/28/1999,339.693.641-83,isabellyferreira@gmail.com,gmail,Gestão,R$ 5.250,Rio Grande Do Sul,,,
Eduardo Alves,4/3/1962,283.037.510-93,eduardoalves@globo.com,globo,Financeiro,R$ 7.250,Minas Gerais,,,
Fernando Santos,7/26/2000,399.730.032-72,fernandosantos@gmail.com,gmail,Comercial,R$ 2.500,Rio De Janeiro,,,
Otávio Burille,7/20/1958,142.979.634-56,otávioburille@hotmail.com,hotmail,Comercial,R$ 5.750,Pernambuco,,,
Fernando Gouvea,11/6/1966,897.828.365-71,fernandogouvea@terra.com,terra,Comercial,R$ 20.500,Rondônia,,,
Kauan Agostini,8/9/1961,620.366.432-40,kauanagostini@terra.com,terra,Comercial,R$ 6.000,Bahia,,,
Verônica Vieira,11/15/1985,784.622.913-59,verônicavieira@globo.com,globo,Gestão,R$ 4.750,Piauí,,,
Michael Haddad,10/16/1957,725.693.099-05,michaelhaddad@gmail.com,gmail,Financeiro,R$ 3.750,Amazonas,,,
Roseli Sabino,2/3/1974,851.948.308-82,roselisabino@globo.com,globo,Financeiro,R$ 3.250,Bahia,,,
Maurício Castro,7/31/1989,685.856.410-44,mauríciocastro@gmail.com,gmail,Gestão,R$ 5.750,Rio De Janeiro,,,
Fabricio Portnoi,8/2/1953,411.317.225-38,fabricioportnoi@gmail.com,gmail,Administrativo,R$ 4.500,Piauí,,,
Caetano Santos,9/27/1950,875.369.306-49,caetanosantos@terra.com,terra,Comercial,R$ 7.000,Pernambuco,,,
Daniela Sousa,1/15/1979,197.079.846-84,danielasousa@outlook.com,outlook,Comercial,R$ 18.750,Amapá,,,
Antonio Nascimento,7/29/1985,875.268.438-99,antonionascimento@gmail.com,gmail,Financeiro,R$ 19.000,Rio De Janeiro,,,
Guilherme Evaristo,3/4/1952,392.500.319-16,guilhermeevaristo@live.com,live,Marketing,R$ 6.500,Pará,,,
Nathalia Haddad,10/19/1986,558.705.342-32,nathaliahaddad@gmail.com,gmail,Gestão,R$ 17.000,Pernambuco,,,
Wellington Araújo,8/21/1984,242.282.748-69,wellingtonaraújo@uol.com,uol,Financeiro,R$ 22.500,Paraíba,,,
Ariane Trevisan,9/26/1964,999.462.831-94,arianetrevisan@gmail.com,gmail,Gestão,R$ 5.500,Ceará,,,
Dimas Rodrigues,6/20/1991,328.147.021-38,dimasrodrigues@gmail.com,gmail,Administrativo,R$ 3.000,Rio De Janeiro,,,
William Fusco,10/18/1990,941.901.780-21,williamfusco@uol.com,uol,Comercial,R$ 12.250,São Paulo,,,
Gisele Menezes,10/17/1970,651.208.868-33,giselemenezes@terra.com,terra,Produção,R$ 22.750,Rondônia,,,
Patrícia Collaço,4/4/1967,843.118.238-35,patríciacollaço@gmail.com,gmail,Comercial,R$ 6.500,Rio Grande Do Sul,,,
Alexandre Cabral,10/22/1978,331.802.043-43,alexandrecabral@gmail.com,gmail,Marketing,R$ 5.500,Paraná,,,
Rodrigo Lopes,9/7/1983,329.527.046-57,rodrigolopes@live.com,live,Gestão,R$ 3.250,São Paulo,,,
Gabriel Fernandes,1/2/1970,266.577.978-14,gabrielfernandes@uol.com,uol,Administrativo,R$ 7.000,Rio De Janeiro,,,
Dario Guilherme,11/3/1997,207.617.735-60,darioguilherme@live.com,live,Comercial,R$ 7.750,Rio De Janeiro,,,
Mário Quintella,4/10/1974,505.287.191-28,márioquintella@terra.com,terra,Financeiro,R$ 3.000,Bahia,,,
Raphaela Mendonça,9/15/1976,357.508.609-43,raphaelamendonça@terra.com,terra,Gestão,R$ 7.000,Minas Gerais,,,
Camila Fernandes,2/9/1968,186.947.472-11,camilafernandes@uol.com,uol,Comercial,R$ 6.750,Rio De Janeiro,,,
Fábio Beyer,9/23/1958,344.608.947-08,fábiobeyer@gmail.com,gmail,Comercial,R$ 12.000,Amazonas,,,
Kelly Silva,4/24/1956,692.916.056-60,kellysilva@uol.com,uol,Comercial,R$ 7.250,Rio De Janeiro,,,
Flávia Guilherme,7/12/1989,510.280.252-50,fláviaguilherme@gmail.com,gmail,Comercial,R$ 8.500,Rio De Janeiro,,,
Felipe Alves,2/15/1995,357.356.636-36,felipealves@uol.com,uol,Administrativo,R$ 5.000,Pernambuco,,,
Sergio Coelho,1/12/1963,557.781.458-24,sergiocoelho@live.com,live,Financeiro,R$ 19.250,Minas Gerais,,,
Rafael Franco,12/7/1990,374.118.963-22,rafaelfranco@gmail.com,gmail,Comercial,R$ 8.750,Bahia,,,
Fabricio Guimarães,11/13/1961,338.186.976-08,fabricioguimarães@gmail.com,gmail,Marketing,R$ 7.250,Rio De Janeiro,,,
Maria Ferreira,12/13/1978,205.498.999-28,mariaferreira@terra.com,terra,Financeiro,R$ 22.000,Minas Gerais,,,
Larissa Madeira,4/6/1973,874.713.715-54,larissamadeira@hotmail.com,hotmail,Comercial,R$ 21.250,Bahia,,,
Adriano Alves,9/21/1963,239.472.935-37,adrianoalves@live.com,live,Marketing,R$ 20.750,Rio De Janeiro,,,
Alessandra Bezerra,7/12/1965,747.589.816-19,alessandrabezerra@gmail.com,gmail,Gestão,R$ 4.500,Paraná,,,
Fernando Bressanin,12/3/1975,671.523.066-32,fernandobressanin@live.com,live,Marketing,R$ 18.250,São Paulo,,,
José Patricio,6/26/1991,598.942.322-25,josépatricio@outlook.com,outlook,Compras,R$ 20.750,Rio Grande Do Sul,,,
William Sotelo,3/18/1989,644.791.749-86,williamsotelo@globo.com,globo,Comercial,R$ 7.000,Rondônia,,,
Isabelle Espósito,11/13/1991,955.979.704-60,isabelleespósito@gmail.com,gmail,Marketing,R$ 6.250,Rio De Janeiro,,,
Andréa Serra,8/19/1973,667.225.564-66,andréaserra@terra.com,terra,Financeiro,R$ 5.250,Alagoas,,,
Igor Beyer,3/29/1983,299.360.478-20,igorbeyer@outlook.com,outlook,Financeiro,R$ 5.250,Maranhão,,,
Henrique Ramos,9/30/1977,190.439.252-82,henriqueramos@gmail.com,gmail,Comercial,R$ 6.000,São Paulo,,,
Fábio Santos,10/31/1986,338.102.671-37,fábiosantos@globo.com,globo,Comercial,R$ 15.750,Amazonas,,,
Fagner Nunes,10/10/1988,865.801.105-90,fagnernunes@gmail.com,gmail,Comercial,R$ 5.000,Minas Gerais,,,
Eduardo Albuquerque,8/11/1991,173.326.205-28,eduardoalbuquerque@gmail.com,gmail,Administrativo,R$ 3.750,Rio De Janeiro,,,
Carina Ferreira,2/3/1963,528.126.491-12,carinaferreira@gmail.com,gmail,Comercial,R$ 5.250,Bahia,,,
César Meira,4/5/1972,880.321.492-34,césarmeira@gmail.com,gmail,Compras,R$ 24.250,Bahia,,,
Rafael Wajsenzon,7/11/1973,711.660.475-52,rafaelwajsenzon@terra.com,terra,Administrativo,R$ 22.500,Sergipe,,,
Pedro Gonçalves,12/5/1991,668.714.754-79,pedrogonçalves@outlook.com,outlook,Compras,R$ 3.250,São Paulo,,,
Nathália Braz,2/12/1974,724.169.909-29,natháliabraz@gmail.com,gmail,Compras,R$ 2.750,Paraná,,,
Leticia Campinho,6/11/1996,602.715.847-92,leticiacampinho@outlook.com,outlook,Gestão,R$ 5.500,Amazonas,,,
Claudio Sousa,12/30/1969,893.426.280-88,claudiosousa@uol.com,uol,Comercial,R$ 4.750,Rondônia,,,
Margareth Ramos,12/26/1998,568.078.939-65,margarethramos@terra.com,terra,Gestão,R$ 14.250,Amazonas,,,
Jaqueline Rodrigues,12/23/1965,964.017.955-56,jaquelinerodrigues@gmail.com,gmail,Comercial,R$ 3.250,Amazonas,,,
Igor Rodrigues,3/21/1982,807.445.923-58,igorrodrigues@terra.com,terra,Financeiro,R$ 8.250,Rio De Janeiro,,,
Rosana Valentim,6/15/1989,943.949.377-03,rosanavalentim@outlook.com,outlook,Marketing,R$ 9.000,Paraná,,,
Victor Marques,2/8/2002,545.442.705-18,victormarques@uol.com,uol,Comercial,R$ 3.000,Mato Grosso,,,
Thais Sanchez,12/20/1994,142.068.178-86,thaissanchez@terra.com,terra,Administrativo,R$ 4.750,Minas Gerais,,,
Gabriel Ferreira,3/22/1951,608.383.545-04,gabrielferreira@globo.com,globo,Gestão,R$ 7.250,Amapá,,,
Rinaldo Alves,8/17/1993,976.138.132-20,rinaldoalves@terra.com,terra,Comercial,R$ 3.000,Alagoas,,,
Sergio Matias,6/30/1981,646.492.911-64,sergiomatias@gmail.com,gmail,Gestão,R$ 9.000,Bahia,,,
Helen Dias,6/13/1953,673.363.014-79,helendias@globo.com,globo,Comercial,R$ 22.250,São Paulo,,,
João Victolo,5/28/1970,512.098.095-96,joãovictolo@hotmail.com,hotmail,Comercial,R$ 16.500,Bahia,,,
Angelo Pereira,7/13/1985,441.213.601-79,angelopereira@gmail.com,gmail,Comercial,R$ 6.500,Rondônia,,,
Fernando Martins,8/20/1974,168.255.476-32,fernandomartins@outlook.com,outlook,Administrativo,R$ 4.750,Rio De Janeiro,,,
João Pinto,7/18/1990,962.774.883-24,joãopinto@gmail.com,gmail,Administrativo,R$ 6.250,Rio De Janeiro,,,
Patricia Anater,4/27/2000,603.927.010-40,patriciaanater@globo.com,globo,Comercial,R$ 21.500,Minas Gerais,,,
Alison Martins,5/19/1952,298.520.732-50,alisonmartins@outlook.com,outlook,Gestão,R$ 4.500,Rio De Janeiro,,,
Larissa Marson,10/22/1979,284.866.829-06,larissamarson@terra.com,terra,Administrativo,R$ 6.750,Minas Gerais,,,
Julio Villegas,1/13/1952,831.448.874-06,juliovillegas@hotmail.com,hotmail,Comercial,R$ 3.750,Bahia,,,
Paulo Xavier,4/12/2001,619.343.411-68,pauloxavier@outlook.com,outlook,Produção,R$ 8.000,Goiás,,,
Tatiana Teixeira,2/17/1971,508.386.553-42,tatianateixeira@gmail.com,gmail,Administrativo,R$ 6.750,Sergipe,,,
Barbara Gonçalves,12/20/1977,919.316.997-27,barbaragonçalves@gmail.com,gmail,Administrativo,R$ 5.500,Pará,,,
Daniel Busse,5/2/1980,712.872.290-01,danielbusse@uol.com,uol,Marketing,R$ 8.000,São Paulo,,,
Kelen Almeida,6/6/1993,209.311.307-35,kelenalmeida@gmail.com,gmail,Marketing,R$ 5.000,Minas Gerais,,,
Rebeca Leite,7/29/1983,699.685.644-88,rebecaleite@gmail.com,gmail,Comercial,R$ 3.250,Paraná,,,
Guilherme Dias,12/17/1959,286.605.898-79,guilhermedias@live.com,live,Marketing,R$ 12.000,Rio De Janeiro,,,
Renata Marinho,8/6/2000,308.662.764-23,renatamarinho@hotmail.com,hotmail,Administrativo,R$ 4.750,Rondônia,,,
Robson Zadra,7/26/1975,225.788.765-07,robsonzadra@globo.com,globo,Comercial,R$ 8.500,Minas Gerais,,,
Valter Oliveira,4/9/1962,902.144.719-77,valteroliveira@globo.com,globo,Comercial,R$ 4.000,Rio De Janeiro,,,
Valeria Cordeiro,2/3/1956,399.816.047-81,valeriacordeiro@gmail.com,gmail,Produção,R$ 15.250,Bahia,,,
Pedro Araujo,12/27/1997,359.185.031-50,pedroaraujo@gmail.com,gmail,Marketing,R$ 8.250,Paraná,,,
Renato Santos,2/26/1967,699.777.461-52,renatosantos@live.com,live,Gestão,R$ 6.500,Distrito Federal,,,
Raphael Guimarães,1/1/1994,414.974.610-70,raphaelguimarães@outlook.com,outlook,Marketing,R$ 13.250,Rondônia,,,
Kelly Baptista,11/12/1999,630.768.284-61,kellybaptista@gmail.com,gmail,Marketing,R$ 5.500,Santa Catarina,,,
Aline Cavalcanti,3/28/1962,941.331.539-20,alinecavalcanti@uol.com,uol,Produção,R$ 8.500,Tocantins,,,
Jefferson Cruz,4/8/1995,266.301.500-08,jeffersoncruz@gmail.com,gmail,Marketing,R$ 2.500,São Paulo,,,
Licia Quintella,7/15/1952,184.138.118-76,liciaquintella@gmail.com,gmail,Marketing,R$ 6.000,Bahia,,,
Leandro Costa,11/25/1969,589.643.813-67,leandrocosta@gmail.com,gmail,Administrativo,R$ 3.250,Mato Grosso Do Sul,,,
Elizabete Curty,5/21/1983,119.335.715-69,elizabetecurty@gmail.com,gmail,Marketing,R$ 4.250,Rio De Janeiro,,,
Marcos Ferreira,1/17/1979,343.233.299-82,marcosferreira@uol.com,uol,Administrativo,R$ 4.000,Rio Grande Do Sul,,,
Luiz Maciel,2/22/1984,333.567.653-42,luizmaciel@gmail.com,gmail,Marketing,R$ 5.250,Amazonas,,,
Thiago Cavalcanti,3/28/1987,895.405.967-70,thiagocavalcanti@gmail.com,gmail,Gestão,R$ 4.750,Pará,,,
Francisco Lima,7/10/1952,355.279.056-16,franciscolima@uol.com,uol,Marketing,R$ 5.500,Rondônia,,,
Nathalia Loures,3/16/1998,441.534.852-58,nathalialoures@live.com,live,Comercial,R$ 6.250,Pernambuco,,,
Gabriel Bublitz,2/24/1952,743.815.673-94,gabrielbublitz@live.com,live,Compras,R$ 3.250,Sergipe,,,
Felipe Silva,3/15/1972,905.858.571-22,felipesilva@gmail.com,gmail,Marketing,R$ 5.500,Espírito Santo,,,
Thiago Dâmaso,4/3/1985,363.959.664-42,thiagodâmaso@uol.com,uol,Gestão,R$ 7.500,Rio Grande Do Sul,,,
Pedro Basilio,10/7/1979,953.966.415-47,pedrobasilio@gmail.com,gmail,Administrativo,R$ 7.500,Rio De Janeiro,,,
Harley Teixeira,5/13/1974,270.258.581-57,harleyteixeira@gmail.com,gmail,Comercial,R$ 23.000,Paraná,,,
Emerson Brito,3/23/1990,703.363.154-27,emersonbrito@gmail.com,gmail,Comercial,R$ 17.750,Rio De Janeiro,,,
Thiago Toscano,2/22/1986,749.590.311-32,thiagotoscano@globo.com,globo,Comercial,R$ 2.500,Paraná,,,
Guilherme Picanco,4/17/1979,876.922.418-88,guilhermepicanco@uol.com,uol,Gestão,R$ 4.500,Mato Grosso Do Sul,,,
Denis Silva,7/7/1981,398.354.192-64,denissilva@gmail.com,gmail,Compras,R$ 5.250,Bahia,,,
Guilherme Ferreira,12/10/2000,131.359.040-05,guilhermeferreira@hotmail.com,hotmail,Comercial,R$ 2.500,Ceará,,,
Manoel Ribeiro,2/4/1951,570.249.556-97,manoelribeiro@gmail.com,gmail,Financeiro,R$ 8.000,Pernambuco,,,
Paulo Fogaça,11/16/1951,651.935.365-60,paulofogaça@globo.com,globo,Financeiro,R$ 3.250,Rio Grande Do Sul,,,
Samuel Araujo,4/30/1954,323.644.103-51,samuelaraujo@uol.com,uol,Produção,R$ 3.750,Rondônia,,,
Túlio Figueira,10/18/1964,841.421.956-31,túliofigueira@uol.com,uol,Comercial,R$ 3.000,Rio De Janeiro,,,
Renan Francisco,7/8/1955,644.196.772-44,renanfrancisco@uol.com,uol,Comercial,R$ 4.500,Paraná,,,
Thiago Galindo,8/29/1954,273.081.518-81,thiagogalindo@uol.com,uol,Administrativo,R$ 5.750,Amazonas,,,
Anderson Lopes,5/8/1966,171.329.755-17,andersonlopes@gmail.com,gmail,Comercial,R$ 21.250,Rondônia,,,
William Fernando,3/22/1971,952.107.693-94,williamfernando@gmail.com,gmail,Comercial,R$ 16.000,Paraná,,,
Alexandro Sotelo,9/29/1962,341.627.203-78,alexandrosotelo@uol.com,uol,Comercial,R$ 5.500,Pernambuco,,,
Natália Rodrigues,12/22/1992,857.612.695-76,natáliarodrigues@gmail.com,gmail,Comercial,R$ 3.500,Pará,,,
Carina Fernandes,2/12/1978,953.985.949-07,carinafernandes@outlook.com,outlook,Gestão,R$ 11.000,Mato Grosso Do Sul,,,
Isabella Santos,2/14/1978,174.167.168-45,isabellasantos@gmail.com,gmail,Compras,R$ 5.000,São Paulo,,,
Mateus Castro,9/3/1982,856.671.123-82,mateuscastro@terra.com,terra,Administrativo,R$ 19.750,São Paulo,,,
Jose Magalhães,7/30/1973,759.712.610-60,josemagalhães@globo.com,globo,Comercial,R$ 5.500,São Paulo,,,
Rafael Ulguim,11/7/1958,585.718.792-03,rafaelulguim@globo.com,globo,Produção,R$ 10.250,Bahia,,,
Ricardo Floes,2/3/1957,808.583.941-39,ricardofloes@hotmail.com,hotmail,Comercial,R$ 14.750,Pernambuco,,,
Fabricio Cintra,1/25/1971,631.392.560-25,fabriciocintra@terra.com,terra,Administrativo,R$ 4.500,São Paulo,,,
Elisangela Teles,11/1/1991,354.443.297-07,elisangelateles@globo.com,globo,Financeiro,R$ 27.500,Amazonas,,,
Jorge Medina,2/28/1989,405.421.808-38,jorgemedina@outlook.com,outlook,Marketing,R$ 14.500,Amazonas,,,
Renato Mathias,9/22/1952,129.411.091-05,renatomathias@gmail.com,gmail,Comercial,R$ 27.750,Rio Grande Do Sul,,,
Izaias Tataglioni,4/19/1997,431.908.438-48,izaiastataglioni@outlook.com,outlook,Produção,R$ 6.500,Bahia,,,
Lucas Mendes,9/15/1953,983.855.116-35,lucasmendes@gmail.com,gmail,Comercial,R$ 3.250,Rio De Janeiro,,,
Waltair Monteiro,6/18/1981,418.402.681-37,waltairmonteiro@outlook.com,outlook,Comercial,R$ 20.500,Pernambuco,,,
Jaques Diaz,3/18/2000,397.225.009-58,jaquesdiaz@gmail.com,gmail,Financeiro,R$ 9.250,Minas Gerais,,,
Cláudio Picanco,2/22/1990,549.923.483-84,cláudiopicanco@gmail.com,gmail,Compras,R$ 7.750,Maranhão,,,
Fagner Nascimento,8/4/1981,197.416.460-63,fagnernascimento@gmail.com,gmail,Gestão,R$ 8.000,Rio De Janeiro,,,
Guilherme Guimarães,8/22/1975,882.761.343-73,guilhermeguimarães@terra.com,terra,Marketing,R$ 2.500,Pernambuco,,,
Jônatas Alves,3/6/1952,577.729.183-72,jônatasalves@hotmail.com,hotmail,Administrativo,R$ 6.000,Pernambuco,,,
Fabio Nogueira,1/24/1951,963.963.720-63,fabionogueira@live.com,live,Administrativo,R$ 3.750,Rio De Janeiro,,,
Vanderson Barreto,2/5/1958,377.369.215-02,vandersonbarreto@outlook.com,outlook,Marketing,R$ 25.500,Rondônia,,,
Agostinho Ferreira,12/5/1958,549.245.061-90,agostinhoferreira@gmail.com,gmail,Gestão,R$ 6.750,Rondônia,,,
Izabel Castro,10/11/1971,552.901.989-73,izabelcastro@gmail.com,gmail,Marketing,R$ 25.750,Bahia,,,
Pedro Santana,3/6/1979,267.731.127-89,pedrosantana@uol.com,uol,Financeiro,R$ 2.750,Sergipe,,,
Anderson Silva,2/21/1976,738.298.840-43,andersonsilva@gmail.com,gmail,Marketing,R$ 4.750,Amazonas,,,
Julio Bressanin,9/10/1969,105.410.328-58,juliobressanin@outlook.com,outlook,Marketing,R$ 5.500,São Paulo,,,
Gustavo Tramontini,4/27/1985,857.543.300-41,gustavotramontini@globo.com,globo,Financeiro,R$ 5.750,Piauí,,,
Thiago Noleto,2/2/1996,754.935.968-66,thiagonoleto@gmail.com,gmail,Comercial,R$ 6.500,Pernambuco,,,
Lucas Moreira,5/15/1988,112.830.325-95,lucasmoreira@gmail.com,gmail,Marketing,R$ 5.000,Rio De Janeiro,,,
Daniel Oliveira,6/11/1979,492.764.824-40,danieloliveira@outlook.com,outlook,Marketing,R$ 5.250,Acre,,,
Sarah Moura,11/13/1976,675.467.373-22,sarahmoura@globo.com,globo,Compras,R$ 5.750,Ceará,,,
Augusto Porfirio,12/3/1986,563.887.106-56,augustoporfirio@gmail.com,gmail,Produção,R$ 4.250,São Paulo,,,
Sara Maia,1/21/1955,233.604.424-39,saramaia@live.com,live,Financeiro,R$ 2.750,Rio Grande Do Sul,,,
Emerson Ferreira,6/27/1950,850.010.978-23,emersonferreira@globo.com,globo,Marketing,R$ 23.000,Rondônia,,,
Daniel Correia,2/5/1998,646.129.839-06,danielcorreia@gmail.com,gmail,Comercial,R$ 9.000,Pernambuco,,,
Raiane Quintella,2/18/1985,279.266.476-41,raianequintella@globo.com,globo,Comercial,R$ 25.250,Rio De Janeiro,,,
Ezequiel Viana,3/5/1977,246.237.957-91,ezequielviana@live.com,live,Gestão,R$ 7.000,Rio Grande Do Sul,,,
Tainara Pontes,9/8/1961,472.378.081-17,tainarapontes@uol.com,uol,Compras,R$ 26.000,Santa Catarina,,,
Thais Marques,9/2/1980,712.064.279-10,thaismarques@globo.com,globo,Compras,R$ 17.750,Rondônia,,,
Henrique Martins,4/4/1984,150.359.414-20,henriquemartins@hotmail.com,hotmail,Administrativo,R$ 6.000,Rio Grande Do Sul,,,
Herbert Nascimento,9/21/2001,867.371.791-78,herbertnascimento@gmail.com,gmail,Administrativo,R$ 6.500,Bahia,,,
Ingrid Cavalcante,7/16/1981,579.634.845-53,ingridcavalcante@live.com,live,Financeiro,R$ 24.500,Rio Grande Do Sul,,,
Diogo Neto,8/29/1953,142.102.422-43,diogoneto@terra.com,terra,Compras,R$ 3.500,Minas Gerais,,,
Erick Silva,1/12/1978,787.822.835-49,ericksilva@outlook.com,outlook,Produção,R$ 5.750,São Paulo,,,
Helen Diaz,7/28/1987,226.499.217-06,helendiaz@terra.com,terra,Administrativo,R$ 25.750,Rio Grande Do Sul,,,
Maira Steiner,7/11/1954,704.894.410-58,mairasteiner@uol.com,uol,Marketing,R$ 17.000,Minas Gerais,,,
Gilberto Silva,5/18/1961,134.160.988-08,gilbertosilva@hotmail.com,hotmail,Administrativo,R$ 4.500,Minas Gerais,,,
Paulo Wolker,4/4/1950,591.224.244-22,paulowolker@terra.com,terra,Comercial,R$ 9.750,Amazonas,,,
Kamila Borges,7/3/1981,141.589.305-99,kamilaborges@terra.com,terra,Administrativo,R$ 3.750,Amazonas,,,
Thaiane Tamayo,3/23/1951,705.819.334-27,thaianetamayo@gmail.com,gmail,Comercial,R$ 6.750,Rio De Janeiro,,,
Carlos Lucas,2/13/1990,852.110.149-00,carloslucas@uol.com,uol,Produção,R$ 26.000,Goiás,,,
Francisco Lopes,10/28/2002,487.333.986-28,franciscolopes@terra.com,terra,Financeiro,R$ 6.000,Rio De Janeiro,,,
Higor Oliveira,9/6/1995,901.951.635-85,higoroliveira@uol.com,uol,Comercial,R$ 8.250,Pará,,,
Mara Marques,12/6/1981,829.360.450-24,maramarques@gmail.com,gmail,Financeiro,R$ 6.500,Rio De Janeiro,,,
Caroline Pinto,10/27/2001,782.152.574-87,carolinepinto@gmail.com,gmail,Comercial,R$ 7.250,Distrito Federal,,,
Marcelino Rodrigues,12/7/1991,713.129.409-85,marcelinorodrigues@globo.com,globo,Comercial,R$ 2.750,Rio Grande Do Sul,,,
Giovanni Lopes,9/1/1956,916.073.219-80,giovannilopes@globo.com,globo,Marketing,R$ 5.250,Amazonas,,,
Rinaldo Lazaro,8/12/1966,931.032.725-81,rinaldolazaro@gmail.com,gmail,Comercial,R$ 6.500,Alagoas,,,
Mario Pantoja,10/24/2001,181.491.448-97,mariopantoja@live.com,live,Marketing,R$ 7.250,Bahia,,,
Mylena Gomez,1/6/1980,383.483.419-67,mylenagomez@terra.com,terra,Gestão,R$ 19.750,Bahia,,,
